Equipment ID,Type,Site ID,Check-In Date,Check-Out Date,Engine Hours/Day,Idle Hours/Day,Rental Days,Last Operator ID,booking_id
EQX1003,Excavator,S005,2025-07-22,2025-08-21,7.5,3.2,30,OP103,BKG1210
EQX1004,Excavator,S003,2026-04-05,2026-04-17,7.5,0.2,12,OP105,BKG1211
EQX1009,Bulldozer,S003,2025-05-24,2025-06-23,4.5,2.1,30,OP108,BKG1212
EQX1015,Grader,S005,2025-11-14,2025-12-08,7.0,0.0,24,OP105,BKG1213
EQX1004,Excavator,S004,2025-04-12,2025-04-24,7.0,3.6,12,OP107,BKG1214
EQX1013,Grader,S003,2025-01-24,2025-02-12,6.9,2.7,19,OP104,BKG1215
EQX1001,Excavator,S003,2025-08-19,2025-08-29,7.7,5.1,10,OP101,BKG1216
EQX1007,Crane,S001,2025-04-06,2025-04-24,1.7,6.9,18,OP103,BKG1217
EQX1002,Excavator,S001,2026-07-22,2026-08-11,9.8,7.3,20,OP106,BKG1218
EQX1004,Excavator,S001,2025-08-12,2025-08-23,5.3,9.8,11,OP105,BKG1219
EQX1012,Bulldozer,S002,2026-03-02,2026-03-21,6.7,3.1,19,OP108,BKG1220
EQX1010,Bulldozer,S001,2025-04-23,2025-04-30,7.6,2.1,7,OP107,BKG1221
EQX1002,Excavator,S002,2025-11-25,2025-12-21,7.6,1.3,26,OP104,BKG1222
EQX1004,Excavator,S002,2025-05-09,2025-05-20,8.1,4.2,11,OP108,BKG1223
EQX1004,Excavator,S005,2026-05-20,2026-06-10,4.6,3.6,21,OP107,BKG1224
EQX1007,Crane,S003,2025-10-22,2025-11-21,4.8,7.2,30,OP108,BKG1225
EQX1007,Crane,S002,2025-08-13,2025-08-24,4.5,4.9,11,OP104,BKG1226
EQX1006,Crane,S003,2026-07-13,2026-07-22,3.6,7.7,9,OP101,BKG1227
EQX1004,Excavator,S005,2025-10-06,2025-11-02,7.9,1.8,27,OP108,BKG1228
EQX1003,Excavator,S002,2025-03-05,2025-03-15,6.8,3.7,10,OP105,BKG1229
EQX1003,Excavator,S004,2025-05-17,2025-06-13,4.6,4.3,27,OP105,BKG1230
EQX1016,Grader,S002,2025-03-10,2025-03-26,6.7,3.5,16,OP104,BKG1231
EQX1007,Crane,S001,2025-10-21,2025-11-11,3.2,5.1,21,OP103,BKG1232
EQX1012,Bulldozer,S001,2026-03-07,2026-03-31,5.9,1.6,24,OP108,BKG1233
EQX1003,Excavator,S003,2025-10-14,2025-11-12,3.0,1.8,29,OP104,BKG1234
EQX1005,Crane,S001,2025-08-13,2025-09-06,0.0,14.9,24,OP105,BKG1235
EQX1007,Crane,S005,2025-09-27,2025-10-10,2.6,5.3,13,OP104,BKG1236
EQX1009,Bulldozer,S003,2025-08-22,2025-09-02,7.1,5.8,11,OP107,BKG1237
EQX1006,Crane,S005,2026-02-18,2026-03-13,3.6,10.0,23,OP103,BKG1238
EQX1011,Bulldozer,S002,2025-09-20,2025-10-11,7.1,3.6,21,OP106,BKG1239
EQX1015,Grader,S005,2026-04-17,2026-05-11,8.0,3.1,24,OP103,BKG1240
EQX1008,Crane,S002,2025-05-05,2025-05-19,3.1,6.3,14,OP105,BKG1241
EQX1016,Grader,S003,2025-07-05,2025-07-31,5.7,5.0,26,OP102,BKG1242
EQX1004,Excavator,,2025-10-04,2025-10-14,5.2,3.3,10,OP101,BKG1243
EQX1010,Bulldozer,S002,2026-05-21,2026-06-07,6.3,3.8,17,OP107,BKG1244
EQX1010,Bulldozer,S002,2025-09-05,2025-09-05,6.9,4.5,0,OP102,BKG1245
EQX1005,Crane,S002,2025-04-08,2025-05-01,0.6,4.3,23,OP103,BKG1246
EQX1002,Excavator,S003,2025-09-26,2025-10-03,5.0,2.1,7,OP107,BKG1247
EQX1001,Excavator,S004,2026-06-25,2026-07-10,7.9,2.8,15,OP104,BKG1248
EQX1010,Bulldozer,S002,2025-09-13,2025-09-30,8.2,1.3,17,OP105,BKG1249
EQX1002,Excavator,S004,2025-06-03,2025-06-03,5.4,4.5,0,OP107,BKG1250
EQX1010,Bulldozer,S002,2025-07-25,2025-08-18,8.6,2.3,24,OP103,BKG1251
EQX1011,Bulldozer,S002,2025-10-10,2025-10-22,5.1,1.8,12,OP102,BKG1252
EQX1016,Grader,S004,2025-08-26,2025-09-02,4.6,4.3,7,OP106,BKG1253
EQX1009,Bulldozer,S005,2025-06-22,2025-07-17,6.0,1.6,25,OP102,BKG1254
EQX1003,Excavator,S005,2025-06-07,2025-06-27,7.4,1.7,20,OP103,BKG1255
EQX1016,Grader,S004,2026-04-07,2026-04-27,3.8,2.2,20,OP104,BKG1256
EQX1012,Bulldozer,S005,2025-11-01,2025-11-29,8.4,1.6,28,OP101,BKG1257
EQX1011,Bulldozer,S002,2025-03-22,2025-04-06,4.2,3.4,15,OP106,BKG1258
EQX1005,Crane,S003,2025-08-06,2025-08-30,2.8,8.9,24,OP107,BKG1259
EQX1009,Bulldozer,S005,2025-08-12,2025-08-20,5.7,2.2,8,OP102,BKG1260
EQX1010,Bulldozer,S002,2025-09-03,2025-09-14,8.6,3.0,11,OP102,BKG1261
EQX1007,Crane,S004,2026-06-22,2026-07-14,0.0,6.0,22,OP103,BKG1262
EQX1007,Crane,S002,2025-08-26,2025-09-11,0.0,5.2,16,OP107,BKG1263
EQX1015,Grader,S002,2026-04-18,2026-05-04,6.9,1.2,16,OP108,BKG1264
EQX1002,Excavator,S005,2025-02-07,2025-02-26,5.5,4.6,19,OP103,BKG1265
EQX1009,Bulldozer,S005,2026-04-04,2026-04-13,8.2,3.3,9,OP106,BKG1266
EQX1012,Bulldozer,S004,2026-04-15,2026-04-25,6.4,3.1,10,OP106,BKG1267
EQX1010,Bulldozer,S003,2025-09-07,2025-09-26,6.8,3.3,19,OP105,BKG1268
EQX1004,Excavator,S004,2025-06-25,2025-07-08,6.2,1.4,13,OP106,BKG1269
EQX1001,Excavator,S004,2026-07-22,2026-08-17,9.4,1.9,26,OP108,BKG1270
EQX1011,Bulldozer,S005,2025-09-18,2025-09-30,7.3,2.0,12,OP101,BKG1271
EQX1012,Bulldozer,S002,2026-04-08,2026-04-29,7.2,3.0,21,OP108,BKG1272
EQX1013,Grader,S003,2025-07-21,2025-08-04,4.6,5.3,14,OP106,BKG1273
EQX1015,Grader,S003,2026-03-06,2026-03-27,4.7,2.7,21,OP104,BKG1274
EQX1003,Excavator,S002,2025-02-24,2025-03-12,5.9,1.4,16,OP108,BKG1275
EQX1004,Excavator,S005,2026-04-24,2026-05-08,7.0,3.4,14,OP102,BKG1276
EQX1015,Grader,S001,2025-06-07,2025-06-22,4.9,8.9,15,OP108,BKG1277
EQX1003,Excavator,S003,2025-10-21,2025-10-30,6.8,4.0,9,OP104,BKG1278
EQX1002,Excavator,S002,2026-05-24,2026-06-23,6.4,2.0,30,OP105,BKG1279
EQX1011,Bulldozer,S002,2026-07-25,2026-08-20,5.4,3.5,26,OP102,BKG1280
EQX1007,Crane,S005,2025-03-04,2025-03-13,3.1,7.5,9,OP101,BKG1281
EQX1003,Excavator,S005,2025-12-21,2026-01-04,6.2,0.7,14,OP106,BKG1282
EQX1013,Grader,S002,2025-07-13,2025-07-21,4.5,3.6,8,OP102,BKG1283
EQX1001,Excavator,S004,2025-06-05,2025-06-28,7.3,2.2,23,OP103,BKG1284
EQX1014,Grader,S002,2026-04-03,2026-04-28,4.6,2.9,25,OP102,BKG1285
EQX1001,Excavator,S002,2025-11-08,2025-11-23,8.6,5.3,15,OP105,BKG1286
EQX1001,Excavator,S004,2025-04-17,2025-05-08,5.7,1.9,21,OP106,BKG1287
EQX1008,Crane,S001,2025-08-13,2025-09-12,0.0,17.8,30,OP102,BKG1288
